 Concentration,     Distance, Elevation, Flow,Season/Month, Zo sector,      Date,     H0,    U*,     W*, DT/DZ,ZICNV, ZIMCH, M-O LEN,   Z0, BOWEN,ALBEDO, REF WS,    HT,REF TA,    HT
47.467,3300,"45,14",360,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
43.98,3325,"44,01",240,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
44.356,3350,"43,03",240,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
44.452,3375,42,240,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
43.817,3400,"42,67",240,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
42.896,3425,"34,73",330,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
45.476,3450,"44,99",30,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
46.468,3475,"39,45",330,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
46.375,3500,"42,13",330,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
45.405,3525,"43,79",10,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
42.893,3550,"46,14",330,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
43.033,3575,"45,76",330,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
44.338,3600,"38,49",100,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
44.661,3625,"41,31",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
44.279,3650,"42,43",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
43.501,3675,"43,68",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
43.437,3700,"43,13",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
43.256,3725,"40,61",310,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
42.944,3750,"40,61",310,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
42.679,3775,"41,62",310,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
42.449,3800,"41,3",320,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
41.777,3825,"43,5",40,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
41.067,3850,"44,29",40,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
40.577,3875,"44,61",40,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
41.256,3900,"42,34",360,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
40.813,3925,"43,05",40,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
40.703,3950,"41,17",40,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
39.808,3975,"44,12",130,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
39.831,4000,"43,52",130,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
